src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.40.20,192.168.40.232,36660,53,17,50528.52631,0,1,8,1,
192.168.40.20,192.168.40.232,39556,53,17,59926.74828,0,1,8,1,
192.168.40.20,192.168.40.232,57135,53,17,4605.531693,0,2,8,1,
192.168.40.20,192.168.40.232,39703,53,17,57870.38803,0,1,8,1,
192.168.40.20,192.168.40.232,48293,53,17,73326.11084,0,1,8,1,
192.168.40.215,192.168.40.20,34633,1883,6,6267.547607,0,2,20,1,
192.168.40.20,44.237.236.41,48646,443,6,12529190.3,511.6462708,8,20,1,
192.168.40.20,44.237.236.41,48654,443,6,12419706.82,13.11302185,15,20,1,
192.168.40.74,192.168.40.20,40375,1883,6,8392.810822,0.476837158,6,20,1,
192.168.40.74,192.168.40.20,52041,1883,6,8950.233459,0,6,20,1,
192.168.40.74,192.168.40.20,57091,1883,6,198231.9355,0.238418579,9,20,1,
192.168.40.74,192.168.40.20,46769,1883,6,12724.63799,0,6,20,1,
192.168.40.74,192.168.40.20,47065,1883,6,15231.13251,0.238418579,6,20,1,
192.168.40.74,192.168.40.20,49427,1883,6,9957.075119,0,6,20,1,
192.168.40.74,192.168.40.20,47077,1883,6,21743.29758,0.238418579,6,20,1,
192.168.40.74,192.168.40.20,55703,1883,6,12491.2262,0,6,20,0,
192.168.40.74,192.168.40.20,45617,1883,6,8691.310883,0.715255737,6,20,0,
192.168.40.74,192.168.40.20,36875,1883,6,12519.35959,0.238418579,6,20,0,
192.168.40.74,192.168.40.20,37155,1883,6,11005.40161,0,6,20,0,
192.168.40.74,192.168.40.20,44195,1883,6,10558.84361,0,6,20,0,
192.168.40.74,192.168.40.20,54505,1883,6,10094.1658,0.238418579,6,20,0,
192.168.40.74,192.168.40.20,34753,1883,6,11001.82533,0.476837158,6,20,0,
192.168.1.87,192.168.40.20,59775,1883,6,3040054.083,0,1,20,0,
192.168.1.245,192.168.40.20,54739,1883,6,3037292.004,0,1,20,0,
192.168.1.146,192.168.40.20,15314,1883,6,3034143.448,0,1,20,0,
192.168.1.125,192.168.40.20,63415,1883,6,3030433.416,0,1,20,0,
192.168.1.63,192.168.40.20,1531,1883,6,3027553.797,0,1,20,0,
192.168.1.38,192.168.40.20,31132,1883,6,3024421.453,0,1,20,0,
192.168.1.107,192.168.40.20,20892,1883,6,3021425.247,0,1,20,0,
192.168.1.125,192.168.40.20,7048,1883,6,3047062.159,0,1,20,0,
192.168.1.187,192.168.40.20,52964,1883,6,3047072.649,0,1,20,0,
192.168.1.11,192.168.40.20,409,1883,6,3040378.571,0,1,20,0,
192.168.1.186,192.168.40.20,24181,1883,6,3040095.806,0,1,20,0,
192.168.1.16,192.168.40.20,39245,1883,6,3036009.073,0,1,20,0,
192.168.1.123,192.168.40.20,60497,1883,6,3032761.335,0,1,20,0,
192.168.1.237,192.168.40.20,48969,1883,6,3029251.099,0,1,20,0,
192.168.1.176,192.168.40.20,60634,1883,6,3026318.073,0,1,20,0,
192.168.1.214,192.168.40.20,49078,1883,6,3022686.481,0,1,20,0,
192.168.1.21,192.168.40.20,51243,1883,6,3017719.984,0,1,20,0,
192.168.1.183,192.168.40.20,5116,1883,6,3047461.987,0,1,20,0,
192.168.1.15,192.168.40.20,6996,1883,6,3045415.878,0,1,20,0,
192.168.1.139,192.168.40.20,59242,1883,6,3041606.426,0,1,20,0,
192.168.1.58,192.168.40.20,1799,1883,6,3037423.849,0,1,20,0,
192.168.1.188,192.168.40.20,30833,1883,6,3034040.213,0,1,20,0,
192.168.1.224,192.168.40.20,5944,1883,6,3030914.068,0,1,20,0,
192.168.1.207,192.168.40.20,60788,1883,6,3028038.025,0,1,20,0,
192.168.1.246,192.168.40.20,61374,1883,6,3024921.179,0,1,20,0,
192.168.1.120,192.168.40.20,5107,1883,6,3019114.494,0,1,20,0,
192.168.1.117,192.168.40.20,18852,1883,6,3017528.534,0,1,20,0,
192.168.1.93,192.168.40.20,42941,1883,6,3046993.494,0,1,20,0,
192.168.1.193,192.168.40.20,62656,1883,6,3043699.98,0,1,20,0,
192.168.1.204,192.168.40.20,16405,1883,6,3040185.452,0,1,20,0,
192.168.1.236,192.168.40.20,16821,1883,6,3036612.034,0,1,20,0,
192.168.1.29,192.168.40.20,51342,1883,6,3030392.17,0,1,20,0,
192.168.1.156,192.168.40.20,15214,1883,6,3029648.781,0,1,20,0,
192.168.1.212,192.168.40.20,21603,1883,6,3027229.786,0,1,20,0,
192.168.1.29,192.168.40.20,61319,1883,6,3024131.536,0,1,20,0,
192.168.1.58,192.168.40.20,29830,1883,6,3020649.433,0,1,20,0,
